Agata compralo oggi,yes
Macroaree,yes
Ma perché continuiamo a dare per scontato che uno straccio di sinistra non possa rinascere e tentare di arrestare questa deriva autoritaria? Va ben il pessimismo della ragione ma l'ottimismo della volontà che fine ha fatto? E allora Mattarella doveva tacere (al di là di qualsiasi altra considerazione di merito) per impedire a Salvini futuri successi elettorali? Tutti zitti e fermi se non ci fanno ancora più male? No! Io non ci sto!,yes
"Radical chic è così divenuta un’espressione idiomatica per definire gli appartenenti a quella borghesia progressista che, per seguire la moda, per esibizionismo o per inconfessati interessi personali, ostentano idee e tendenze politiche affini alla sinistra radicale o comunque opposte al loro vero ceto di appartenenza. Per estensione, la definizione di radical chic comprende anche uno stile di vita, un’aria frequente di ostentato disprezzo del denaro, quando in realtà si gode di un’abbondante disponibilità finanziaria, ovvero un atteggiamento che si identifica con la convinzione di una superiorità culturale, nonché con l’ostinata esibizione di questa cultura “alta” e l’ossessione del linguaggio politically correct, riducendo spesso il tutto a mera apparenza priva di qualsiasi sostanza, svelandone la natura esclusivamente snobistica.

Si concreta in quella definizione tutta quella casta politico intellettuale e mediatica che, qui in Italia, detiene larga parte dei mezzi di informazione e che, in maniera assillante, propugna le tematiche progressiste, umanitarie, multietniche e omofile in ogni ambito della realtà sociale, culturale ed educativa del Paese, cioè l’espressione ultima e più detestabile di quel coacervo ideologico che sostiene tutte le più ributtanti inversioni della vita sociale, familiare e sessuale.

In quella definizione si sostanzia tutto ciò che c’è di più lontano da ogni concezione tradizionale e da qualunque visione del mondo in chiave sociale e nazionale.

Tom Wolfe si divertiva proprio con questa gente, mettendone alla berlina le miserie e le contraddizioni, ma a noi, quotidianamente alle prese con gente come Gianni Riotta, Roberto Saviano o Massimo Gramellini, corre l’obbligo, anche in suo nome, di sommergerli con le nostre risate e, all’occorrenza, anche con qualche deiezione.",yes
"Per favore non mettete Salvini in prima pagina, il suo aspetto ed il suo atteggiamento esprimono pericolo imminente.",yes
Garante non tanto. Lo spread è schizzato a 300 .saremo la prossima Grecia,yes
"uno scontro fra frazioni, fazioni, del Capitale, molto, molto pericoloso,",yes
Non sarei tanto sicuro se salvini torna alla corte del vostro padrone ...perdera consensi,yes
Un governo Salvini sarebbe uno scempio......,yes
Matteo salvini + m5s arriveranno al 75% poi se famo due risate con Mattarella servo della merkel,yes
Savona presidente del mondo senza di lui e' la fine,yes
Elezioni anticipate e dimissioni di Mattarella immediate!!!,yes
Servi dei servi,yes
"Sempre contro il calcio moderno,a cominciare da questo pallonaccio dai colori orribili",yes
"Probabilmente le grandi masse italiche ignorano (o fingono) che a livello globale l'economia, tutta, ruota intorno al sistema capitalista liberista. Piaccia o no.
Tutte le produzioni e consumi sono globalmente connesse, ma  sempre più in mano alle oligarchie economiche, con sempre meno redistribuzione dei profitti tra i ceti medi e bassi.
La diseguaglianza sociale si sta accentuando in tutto l'occidente. La tecnologia espelle sempre più  il lavoro umano. 
Le risorse planetarie si stanno limitando. E la demografia umana non aiuta.
Il declino del mondo occidentale trainato dagli USA ( che si mantiene vitale in virtù della sua potenza bellica, la guerra esportata)   viene gradualmente sostituito dalle economie emergenti trainate da Cina, India ...
(un dato: fra pochi anni il 50% ed oltre dei laureati globali proverrà da questi Paesi. In Usa saranno il 4%, in Italia l '1%).
In Europa l'Italia è l'ultima come livello di istruzione. Allo stesso modo è tra gli ultimi stati come cultura di formazione ( e di produzione).
Quasi 5 milioni in 10 anni sono stati gli italiani, in prevalenza giovani, che sono emigrati per lavoro. 
Il lavoro industriale, in Italia, il padronato locale e le multinazionali, lo hanno  delocalizzato ovunque a partire dagli anni 90 (ecco la globalizzazione capitalista). 
Riportarlo in Italia, secondo le regole di questo sistema economico, significa provare ad accettare le condizioni lavorative ed economiche dei Paesi prima sotttosviluppati...
La maggior parte dei finanziamenti europei all'Italia (solo parzialmente utilizzati) servono al sostentamento di agricoltura el lavoro al sud.
Abbiamo il primato europeo di evasione fiscale, pari a 270 miliardi (570 mld di PIL escluso i profitti della criminalità).
Siamo sul podio dei Paesi europei con maggior corruzione percepita.
E' noto che la criminalità organizzata, quella che controlla territori ed economie è ancora presente, Ed esportata.
Ma le masse italiche non percepiscono questo insieme di sé, questi fattori ed altri, relazionati con l' economia globale del capitale. 
Non percepiscono che l'Europa delle economie in fondo è solo un cuscinetto di resistenza comune (ovviamente sempre al servizio del capitale) per non essere schiacciati dalle potenze economiche vecchie e nuove. Ad Est ed a Ovest. 
Essi percepiscono lo squilibrio tra  alcuni stati di questa alleanza forzata, ma non la sanno spiegare. 
Volgono lo sguardo di fronte allo specchio, non esiste la presa di coscienza e non sono interessati a conoscere le storie degli altri Paesi emersi, i perché e come.
E la politica dei populismi non può andare contro i veri poteri forti dei padroni dell'economia globale. Essi indicano i mali minori della nostra società per continuare a nascondere la realtà grave delle cose. Poiché questa è la loro natura di sopravvivenza politica. 
Non possono mettere in discussione il sistema economico (che sta distruggendo il pianeta e noi stessi) ma ne vogliono divenire i nuovi vassalli che controllano le masse.
Essi spingono verso un autarchia economica, in nome di un  sovranismo che si sente forza sovrumana in grado di sopravvivere contro le potenze economiche, europea e globale
Un gioco pericoloso che rischia di ipotecare  i pochi soldini dei ceti bassi e medi, salari e pensioni e poi il lavoro, anziché fare false 'rivoluzioni'.
E poi magari richiamare, tardivamente,come un deja vù, i 'salvatori ' della nazione a base di lacrime e sangue...",yes
"'La potenza del capitale è tutto, la Borsa è tutto, mentre il parlamento, le elezioni, sono un gioco da marionette, di pupazzi'. - (Lenin, Sullo Stato, 11 luglio 1919 - Opere complete, vol. 29, p. 447)",yes
con questo fascismo siete un tantino ripetitivi. Va tuttavia detto che basterebbe rimettere indietro di un secolo l'orologio e sareste di strettissima attualità!,yes
