"","id_str","target","hate.speech","aggressiveness","offensiveness","irony","stereotype","intensity","tweet"
"2",782128837496745984,"religion","no","no","no","no","no",0,"Bellissimo post sulle cause e conseguenze dell'immigrazione,  da leggere!!! https://t.co/XFOA9iRM43"
"4",782145460664463360,"Roma","no","no","no","no","no",0,"Roma, nuovo sgombero al Baobab di via Cupa: via migranti e tende https://t.co/aINDHAT0y4 via @repubblicait"
"5",782165094318956544,"ethnic group","no","weak","no","no","yes",0,"Psicosi (e leggende) galoppano su Facebook: Attenzione al furgone pieno di rom accanto alla… https://t.co/FZO8FBl6tn"
"6",782195284105371648,"Roma","yes","no","strong","no","yes",1,"che diversità c'è tra loro e il pd, hanno firmato insieme per autirizzare l'invasoone di immigrati https://t.co/3jOInl98w4"
"7",782204731959734272,"Roma","no","no","no","no","yes",0,"@TutteLeNotizie @MediasetTgcom24 e ce l'hai ancora visto che appoggi clandestini rom iussoli e stranieri criminali liberi impuniti a zonzo"
"9",782268118194229248,"Roma","no","no","no","no","no",0,"Bellissimo!
Roma: banda di rom gli chiedeva il pizzo da 2 anni, ristoratore esausto li uccide a colpi di mitra - https://t.co/Pd9HWV8fkL"
"10",782349137257922560,"Roma","no","no","no","no","no",0,"#Milano Chiude il ""campo rom dei container"" in via Lombroso: lasciate per strada diverse famiglie… https://t.co/A2XsfRFCm1"
"11",782462957842300928,"ethnic group","no","no","no","no","no",0,"Incendi di rifiuti in campo nomadi abusivo tra Manfredonia e Cerignola – la VIDEO segnalazione di Forza Nuova: https://t.co/W9dF5izZLH"
"12",782508027815485440,"Roma","no","no","no","no","yes",0,"Bagni separati per i bambini stranieri: dopo bufera su scuola di Cagliari arriva la marcia indietro https://t.co/fRRcllaj2i"
"13",782512181707440128,"Roma","no","weak","no","no","no",0,"Trovato in Croazia il tesoro della “regina” rom: sequestro da 6 milioni di euro:"
"14",782559406311477248,"Roma","yes","weak","no","no","yes",2,"@andreasantoro_9 anche quando amministravate, il mun. IX meritava impegno. Invece ve ne siete fregati. EUR ridotto in campo rom"
"15",782563896934666240,"Roma","no","no","no","no","no",0,"I rom hanno milioni di euro all'estero. Ma in Italia vivono grazie a sussidi e case popolari https://t.co/20ecxJa4wx"
"16",782584588103278592,"ethnic group","no","strong","strong","no","yes",0,"Inchiesta a torino - Trovato in Croazia il tesoro della “regina” rom |https://t.co/zk2Uws8TT6"
"17",782588461006090240,"religion","no","no","no","no","no",0,"#POLITICA la ue di m.:""l'italia discrimina i migranti""sono lontani da noi,SONO GLI ITALIANI DISCRIMINATI!!PEZZI DI M https://t.co/a7L0k447Vu"
"18",782596951283933184,"religion","yes","weak","weak","no","yes",3,"Auguriamo a tutti gli amici musulmani un felice e sereno anno 1438 (#Hijri1438)!
Che sia un anno di #سلام #pace https://t.co/ptHT9snoxw"
"19",782614667759849472,"ethnic group","yes","weak","no","yes","yes",3,"Cari italiani, per battere l'islam dovete tornare a fare figli https://t.co/e5hvUTZIab"
"20",782627058115641344,"religion","yes","weak","no","no","yes",3,"L'han studiata bene, passin passetto.Anche la storiella dell'immigrazione e degli italiani che non fan più figli:1piano demoniaco.Ma finirà."
"21",782640781290983424,"ethnic group","no","no","no","no","no",0,"@cicapingui @Piovegovernolad @ilPontormo #no c'è bisogno di fare figli X sconfiggere l'islam, basta non farlo entrare nel nostro paese"
"22",782686657732640768,"religion","yes","strong","no","no","yes",3,"""Stop immigrati"": vorreste un referendum anche in Italia? https://t.co/8KnsY9NkEa"
"23",782787286857494528,"ethnic group","no","no","no","no","no",0,"#LeIene #bosnia e #kosovo base per terroristi. Grazie USA. Aveva ragione #slobo"
